# angle_deg distance_mm
174.156 226.000
183.125 196.250
268.031 486.750
269.641 492.000
275.641 1911.000
277.078 1884.250
280.641 926.000
284.984 805.750
286.469 789.500
287.844 785.750
311.938 204.500
313.344 202.250
333.375 559.750
334.672 559.250
336.047 557.750
341.047 2727.500
342.469 2730.250
346.844 1854.000
348.281 1823.500
349.719 1800.250
351.078 1780.000
352.500 1762.000
353.891 1740.000
355.328 1717.000
9.094 2211.000
14.594 2187.250
16.000 2180.250
17.375 2180.250
18.750 2179.000
20.172 2180.750
21.562 2181.250
22.938 2180.250
24.359 2182.000
28.531 2192.000
29.906 2200.000
31.266 2210.500
32.672 2221.000
34.047 2235.750
35.547 2255.000
36.906 2275.500
38.312 2292.500
39.719 2308.750
41.078 2332.000
42.484 2361.500
43.875 2387.750
52.156 2589.000
53.562 2624.000
57.438 897.000
58.781 888.500
60.234 889.250
61.703 900.000
82.234 588.250
83.688 578.000
85.094 570.000
86.422 564.500
87.844 560.250
89.234 556.250
90.594 554.000
91.938 553.000
93.375 553.500
94.875 555.250
101.562 580.250
103.016 590.000
104.422 604.000
144.547 1679.750
145.969 1641.250
183.500 196.250
269.375 490.750
275.469 1918.750
276.859 1890.000
280.438 931.750
281.719 946.500
283.141 968.500
286.250 790.500
287.609 788.000
294.844 2236.750
311.078 205.000
313.219 203.000
333.141 561.000
334.672 559.250
335.938 557.750
340.969 2730.500
342.391 2734.750
346.828 1855.500
348.188 1824.500
349.594 1800.750
351.031 1780.750
352.391 1762.500
353.812 1741.500
355.266 1718.250
9.031 2211.500
15.953 2179.500
17.344 2179.750
18.719 2177.500
20.094 2179.000
21.516 2180.750
22.922 2180.250
24.312 2182.000
28.484 2192.000
29.891 2199.750
31.266 2210.750
32.672 2221.500
34.047 2236.000
35.516 2255.250
36.891 2275.750
38.297 2292.750
39.703 2308.750
41.094 2332.250
42.453 2361.250
43.875 2387.250
52.203 2589.250
53.578 2624.500
57.484 897.000
58.938 888.250
60.297 888.750
61.625 899.750
82.203 588.250
83.562 578.000
85.016 569.750
86.375 564.250
87.656 560.000
89.281 556.250
90.625 554.000
91.891 553.000
93.359 553.500
94.656 555.250
101.703 580.000
102.969 589.750
104.250 603.750
144.531 1679.750
145.938 1640.750
183.391 196.000
254.328 200.250
276.578 1891.500
280.109 931.000
281.500 939.250
282.891 959.250
285.938 792.500
287.344 786.250
310.688 205.500
312.953 203.250
334.453 559.250
335.781 558.250
337.094 557.000
340.672 2737.750
346.562 1865.000
347.922 1830.000
349.344 1804.500
350.734 1784.000
352.141 1766.500
353.547 1747.250
354.969 1724.000
356.328 1734.000
5.953 2218.750
8.766 2211.500
10.125 2200.250
11.578 2190.000
15.750 2181.250
17.141 2178.500
18.547 2178.500
19.938 2177.000
21.359 2177.000
22.734 2179.500
24.125 2182.500
28.312 2190.250
29.734 2198.750
31.125 2208.250
32.500 2221.250
33.891 2237.500
35.375 2254.500
36.734 2274.250
38.156 2291.750
39.547 2309.500
40.953 2334.000
42.312 2361.500
43.703 2386.500
52.094 2587.000
53.484 2618.000
57.328 899.750
58.812 887.500
60.234 887.250
61.562 897.000
82.141 589.000
83.469 578.000
84.734 570.000
86.391 564.500
87.562 560.000
89.000 556.250
90.484 554.250
91.828 553.250
93.219 553.500
94.625 555.000
101.453 579.750
102.906 589.250
104.250 603.500
144.516 1687.000
145.875 1644.750
183.359 196.000
254.359 200.000
276.672 1890.750
280.281 929.500
281.609 939.500
282.938 963.750
286.156 790.250
287.562 784.500
311.625 205.250
313.031 203.000
314.422 201.500
334.547 559.500
335.797 558.250
337.188 557.000
340.734 2736.750
346.547 1864.500
347.953 1829.500
349.406 1804.750
350.812 1784.500
352.172 1766.500
353.578 1746.750
354.984 1723.250
356.406 1734.000
8.781 2211.000
10.172 2199.250
11.641 2190.250
17.250 2177.750
18.656 2177.250
20.016 2178.250
21.438 2179.500
22.812 2179.500
24.219 2181.750
28.422 2190.250
29.797 2199.750
31.203 2210.250
32.625 2221.000
34.000 2236.250
35.438 2254.500
36.828 2274.000
38.203 2292.000
39.625 2308.750
41.000 2332.750
42.406 2361.250
43.797 2386.000
52.141 2589.000
53.562 2620.250
57.453 899.250
58.844 888.250
60.312 888.250
61.625 897.750
82.266 588.000
83.719 577.750
85.062 569.750
86.469 564.000
87.828 560.000
89.234 556.000
90.578 554.000
92.000 553.000
93.609 553.250
94.984 555.000
101.828 581.250
103.188 590.750
104.391 605.250
119.438 2315.750
126.375 2624.500
144.781 1674.500
146.219 1638.500
175.344 225.750
183.688 196.000
268.156 486.500
269.312 491.000
275.609 1911.500
276.984 1884.500
280.484 932.500
281.922 949.000
284.969 804.500
286.484 789.500
287.797 786.000
294.953 2239.000
311.469 204.500
312.359 202.750
333.234 560.750
334.484 559.000
336.094 557.750
340.875 2725.000
342.281 2734.500
346.703 1858.500
348.125 1825.000
349.562 1803.250
350.953 1784.250
352.312 1764.000
353.719 1741.500
355.172 1720.500
356.484 1739.000
8.922 2211.000
10.312 2203.750
11.688 2199.750
17.281 2178.750
18.672 2176.750
20.078 2177.750
21.438 2179.500
22.828 2180.000
24.234 2181.750
28.438 2190.500
29.797 2199.500
31.172 2210.250
32.609 2222.000
33.969 2236.750
35.422 2254.250
36.844 2274.000
38.203 2292.000
39.625 2309.000
41.000 2332.750
42.391 2361.250
43.781 2386.000
52.141 2588.750
53.500 2619.500
57.453 899.000
58.844 888.000
60.266 888.000
61.641 897.750
82.172 588.000
83.547 578.000
85.062 569.750
86.453 564.000
87.812 560.000
89.203 556.000
90.594 554.000
92.000 553.000
93.484 553.250
94.750 555.000
101.688 580.500
103.000 590.000
104.438 605.000
119.375 2314.500
146.078 1639.000
183.625 195.750
268.031 485.500
269.359 490.500
275.453 1918.750
276.859 1889.500
280.344 931.500
281.766 946.500
283.109 968.500
286.297 790.750
287.656 787.750
294.828 2238.000
311.734 205.000
313.141 203.000
334.531 558.500
335.906 557.750
337.422 557.500
340.797 2729.750
346.656 1861.750
348.000 1828.750
349.469 1804.250
350.828 1784.000
352.266 1766.500
353.625 1746.250
355.047 1722.750
356.453 1738.500
5.984 2219.250
8.812 2211.250
10.172 2199.250
11.594 2191.250
15.766 2182.500
17.141 2178.000
18.562 2178.000
19.953 2176.750
21.312 2176.750
22.719 2179.500
24.141 2182.000
28.281 2190.500
29.656 2198.750
31.078 2208.000
32.469 2220.500
33.844 2237.000
35.312 2254.750
36.672 2274.250
38.062 2291.750
39.453 2309.000
40.828 2333.000
42.234 2358.750
43.625 2383.750
51.938 2587.000
53.359 2619.000
57.188 900.000
58.609 887.750
60.172 887.000
61.531 897.000
81.891 589.000
83.453 578.000
84.781 570.000
86.375 564.250
87.656 560.000
89.109 556.250
90.641 554.000
91.906 553.000
93.281 553.500
94.672 555.250
101.625 580.000
103.062 589.500
104.297 603.500
146.094 1639.000
183.672 196.000
268.000 486.250
269.594 491.500
275.609 1911.750
276.984 1886.000
280.484 932.250
281.969 948.750
285.047 804.750
286.484 789.750
287.766 786.250
294.938 2239.500
311.469 204.500
313.297 202.750
333.172 560.750
334.641 559.000
335.953 557.750
340.969 2729.250
342.328 2734.250
346.812 1860.250
348.172 1825.250
349.562 1801.500
350.984 1782.250
352.375 1764.000
353.812 1741.750
355.188 1718.750
8.922 2211.250
10.328 2204.000
17.297 2178.500
18.688 2176.500
20.078 2177.500
21.484 2179.250
22.844 2180.000
24.250 2182.000
28.438 2192.000
29.812 2199.000
31.188 2210.000
32.609 2221.500
33.969 2236.250
35.453 2254.500
36.797 2274.250
38.234 2292.250
39.641 2309.000
40.984 2332.750
42.391 2361.250
43.797 2386.250
52.109 2587.750
53.484 2619.000
57.359 899.250
58.719 888.000
60.188 887.500
61.516 897.250
82.062 588.750
83.562 578.000
84.766 570.000
86.312 564.250
87.750 560.000
89.203 556.250
90.672 553.750
92.047 552.750
93.266 553.250
