# angle_deg distance_mm
310.422 208.000
311.312 205.000
313.219 202.750
334.703 558.750
335.875 557.500
337.438 557.250
340.891 2724.500
342.297 2734.500
346.766 1861.250
348.109 1825.750
349.547 1802.250
350.906 1783.250
352.312 1764.250
353.766 1742.000
355.172 1720.250
356.500 1738.000
8.906 2209.750
10.312 2202.500
17.266 2177.250
18.656 2175.500
20.094 2177.000
21.469 2179.000
22.891 2180.000
24.297 2181.750
28.438 2190.750
29.844 2198.000
31.203 2209.250
32.641 2221.500
34.016 2237.000
35.484 2255.750
36.844 2275.000
38.266 2292.250
39.656 2309.000
41.047 2332.000
42.469 2360.000
43.844 2385.500
47.234 1229.750
48.641 1225.500
50.016 1226.750
51.406 1228.000
52.812 1230.750
54.156 1243.000
57.531 896.250
58.891 888.250
60.344 888.750
61.609 899.500
82.078 587.250
83.594 577.500
84.938 569.000
86.547 563.250
87.797 559.250
89.344 555.750
90.812 553.500
92.203 552.500
93.469 553.000
94.828 554.750
101.672 580.750
103.125 590.000
104.516 605.000
122.188 2620.750
123.594 2647.000
144.891 1665.750
146.266 1638.500
157.562 292.500
176.172 228.500
270.172 490.750
276.250 1900.000
279.844 934.500
282.547 959.500
285.656 797.500
287.172 785.250
288.438 794.250
312.656 205.750
313.797 201.250
334.031 559.500
335.359 558.000
336.781 557.250
343.188 2681.000
347.641 1837.250
348.984 1809.000
350.422 1789.250
351.844 1771.250
353.266 1750.250
354.641 1726.500
356.016 1724.000
7.016 2219.000
9.844 2202.500
12.625 2187.500
14.016 2183.250
15.453 2180.750
16.859 2178.750
18.234 2178.000
19.609 2177.000
21.031 2177.750
22.391 2179.750
23.828 2181.250
28.016 2190.250
29.422 2196.250
30.797 2204.250
32.203 2217.250
33.594 2234.250
35.031 2251.000
36.438 2269.500
37.797 2287.500
39.203 2303.250
40.578 2325.750
41.984 2351.750
43.391 2377.250
46.766 1236.000
48.203 1229.000
49.578 1224.750
50.969 1227.000
52.328 1231.250
53.734 1242.500
57.062 904.500
58.453 888.250
59.891 886.500
61.203 893.000
81.703 592.000
83.266 580.000
84.500 571.000
85.938 565.500
87.406 561.250
88.719 557.000
90.141 554.250
91.547 553.000
92.953 553.500
94.547 554.500
101.406 578.250
102.594 587.250
104.031 600.000
121.703 2688.250
123.109 2652.250
145.750 1647.000
175.047 230.250
238.719 136.750
253.266 204.750
266.906 483.000
268.094 487.000
269.594 491.750
275.719 1907.500
277.172 1884.500
280.781 929.000
285.188 806.000
286.656 786.250
288.031 786.250
295.250 2246.000
312.203 205.000
313.609 201.500
334.953 558.000
336.469 557.000
341.328 2726.500
342.734 2718.250
347.188 1847.250
348.625 1819.000
349.984 1796.250
351.391 1776.500
352.828 1757.000
354.219 1735.000
355.641 1717.500
6.609 2220.250
9.438 2201.750
12.266 2188.750
13.641 2183.500
15.047 2181.000
16.453 2180.000
17.844 2179.000
19.234 2176.500
20.625 2176.000
22.031 2178.500
23.453 2181.000
24.859 2182.500
26.250 2183.500
27.625 2187.250
29.016 2195.250
30.438 2203.250
31.844 2214.250
33.203 2228.750
34.625 2245.000
36.000 2265.250
37.438 2282.500
38.812 2298.000
40.188 2319.000
41.578 2345.000
42.984 2370.750
44.375 2393.750
47.766 1230.250
49.125 1224.500
50.562 1225.500
52.000 1218.750
53.359 1229.250
54.766 1252.250
58.031 891.500
59.469 887.250
60.906 891.000
81.391 595.750
82.719 582.500
84.297 573.500
85.672 566.500
87.156 561.500
88.594 557.750
89.844 554.500
91.406 552.750
92.578 553.500
93.984 553.750
95.359 558.750
99.500 568.000
101.047 576.000
102.406 584.500
103.781 596.000
105.109 612.000
121.344 2654.000
122.750 2649.500
124.141 2645.750
125.500 2652.500
126.938 2664.000
145.422 1651.250
183.656 200.000
276.719 1890.750
280.219 928.750
281.688 940.750
282.953 965.000
286.109 790.500
287.562 786.000
311.734 205.000
313.141 202.750
314.547 201.500
333.250 560.500
334.562 558.750
335.953 557.500
341.016 2727.000
342.422 2731.500
346.844 1855.000
348.297 1822.750
349.734 1800.500
351.109 1780.750
352.516 1760.750
353.938 1738.000
355.344 1716.500
3.656 2012.500
9.203 2210.750
11.953 2188.750
16.156 2181.750
17.531 2178.500
18.953 2176.750
20.359 2176.500
21.781 2178.500
23.172 2181.000
24.547 2183.750
28.766 2191.750
30.188 2201.750
31.547 2213.500
32.953 2227.250
34.344 2242.250
35.734 2260.500
37.172 2279.250
38.547 2296.250
39.953 2313.750
41.328 2337.500
42.750 2367.000
44.094 2391.500
47.469 1230.500
48.922 1222.750
50.266 1225.750
51.672 1231.000
53.062 1238.500
54.500 1249.500
57.734 892.750
59.109 888.000
60.578 890.750
81.156 598.250
82.547 584.500
84.062 574.750
85.531 567.000
86.844 561.750
88.234 557.750
89.750 554.500
91.172 553.000
92.562 553.500
94.031 553.500
95.141 556.000
102.047 583.750
103.422 593.750
121.062 2640.250
122.453 2635.750
123.875 2651.250
126.656 2608.750
145.156 1655.750
184.156 198.000
236.922 136.750
270.016 490.750
276.344 1894.750
279.891 933.000
282.641 959.750
285.828 794.500
287.266 784.000
288.562 794.250
312.781 202.750
313.484 200.500
334.203 559.000
335.641 557.250
337.047 555.500
340.625 2737.000
346.500 1865.750
347.922 1829.250
349.297 1806.000
350.734 1785.500
352.156 1766.500
353.547 1744.500
354.953 1721.750
356.359 1733.500
6.000 2219.000
8.781 2210.750
10.219 2200.250
11.578 2192.250
15.797 2183.500
17.203 2177.250
18.609 2176.000
19.969 2175.250
21.391 2176.750
22.797 2179.750
24.188 2182.000
28.391 2189.750
29.781 2197.750
31.188 2209.000
32.547 2220.750
33.938 2236.250
35.422 2255.000
36.797 2274.250
38.219 2292.250
39.656 2309.000
41.000 2332.750
42.406 2360.500
43.812 2385.500
47.234 1229.750
48.641 1226.000
49.984 1227.250
51.391 1228.000
52.766 1230.750
54.172 1243.000
57.500 896.250
58.828 888.250
60.328 889.000
61.656 899.750
80.906 601.500
82.203 587.250
83.688 577.500
85.219 569.000
86.641 563.250
87.844 559.250
89.422 555.750
90.719 553.500
92.219 552.500
93.688 553.000
94.906 554.750
101.750 581.250
103.219 591.250
104.469 605.750
122.219 2621.250
123.609 2646.750
144.875 1665.250
146.344 1638.000
157.562 292.500
176.328 228.500
269.828 494.000
276.156 1903.250
279.719 936.750
281.031 936.250
282.516 959.750
285.578 799.250
287.078 785.250
288.406 790.750
292.688 2524.500
312.562 203.250
313.953 200.500
333.906 559.750
335.359 558.000
336.969 557.250
343.156 2679.750
347.562 1837.250
348.984 1810.000
350.344 1789.750
351.781 1771.000
353.219 1750.250
354.625 1728.000
355.953 1725.000
6.984 2225.000
9.797 2202.500
12.578 2187.000
13.938 2182.750
15.375 2180.750
16.766 2178.750
18.156 2178.000
19.578 2177.000
20.938 2177.750
22.375 2179.500
23.734 2179.750
27.953 2190.000
29.312 2196.500
30.719 2204.500
32.109 2217.000
33.516 2234.250
34.984 2251.250
36.359 2269.250
37.797 2286.000
39.156 2302.500
40.562 2325.750
41.984 2351.250
43.344 2377.000
46.766 1235.750
48.188 1228.500
49.500 1224.500
50.938 1227.750
52.328 1232.000
53.766 1242.250
56.984 904.500
58.484 888.000
59.859 886.250
61.203 893.000
81.750 591.000
83.234 579.750
84.500 571.000
86.000 565.000
87.562 561.000
88.953 556.750
90.297 554.000
91.781 553.000
93.094 553.500
94.531 554.500
101.422 578.250
102.594 587.250
104.016 601.000
105.359 619.250
121.734 2687.250
123.125 2652.250
145.875 1644.250
175.578 230.250
