# angle_deg distance_mm
229.812 172.250
231.250 171.250
232.688 169.750
234.109 169.000
235.266 168.750
236.953 168.500
238.391 168.250
239.812 167.500
241.250 167.750
242.688 168.750
244.109 168.750
245.547 168.750
246.969 169.500
248.406 170.000
249.844 170.500
251.281 171.000
252.703 171.500
253.641 172.500
255.078 173.750
256.500 174.000
281.328 291.500
292.047 235.750
295.062 230.000
296.469 225.000
330.219 527.500
331.500 534.500
333.125 544.750
334.453 552.500
340.391 293.500
341.797 284.750
343.594 277.750
344.656 273.000
345.891 271.750
347.516 273.750
356.484 470.000
357.844 472.500
6.422 477.500
8.016 473.250
9.312 471.500
10.672 473.000
12.016 478.500
26.609 835.250
28.016 836.000
29.500 831.500
30.859 826.250
32.359 825.750
33.703 831.500
35.188 839.500
36.719 841.000
38.125 842.750
39.594 845.500
41.031 850.000
46.719 916.750
48.125 896.250
49.641 877.250
51.141 860.000
52.609 843.250
54.109 827.750
55.578 814.500
56.969 800.750
58.453 787.750
60.047 776.000
61.391 765.500
62.906 755.750
64.375 746.750
65.938 738.500
67.312 730.250
68.781 724.000
70.172 717.500
71.797 711.250
73.203 704.750
74.547 699.000
76.172 694.750
77.469 691.000
78.938 687.750
80.391 684.000
81.859 682.250
83.312 681.250
84.641 678.000
86.188 675.750
87.719 674.250
89.062 673.000
90.562 673.500
92.047 673.000
93.266 673.750
94.875 675.500
96.203 676.000
97.609 677.750
99.156 681.000
100.531 683.500
101.875 686.500
103.375 690.000
104.875 693.250
106.266 697.750
107.656 702.500
109.078 708.000
110.516 713.750
111.859 720.750
113.266 728.500
114.750 735.750
116.094 744.250
117.562 753.250
118.969 762.750
120.422 773.250
121.859 782.750
123.281 793.750
124.547 807.000
126.031 820.250
127.422 834.500
128.875 851.250
130.172 868.500
131.734 885.750
133.141 904.250
134.500 924.000
135.891 946.750
137.281 969.500
140.375 891.750
145.672 1142.750
175.312 2023.750
181.000 2235.500
182.406 2219.750
183.891 2203.750
185.312 2191.000
186.750 2181.500
188.172 2169.250
193.828 2620.250
195.250 2620.000
196.703 2620.250
198.141 2628.500
199.578 2626.000
201.016 2615.000
202.438 2631.250
203.906 2654.000
205.359 2632.250
206.766 2621.000
224.078 187.000
230.344 171.250
231.781 168.500
233.219 166.000
234.656 164.750
236.094 163.500
237.516 163.000
238.953 163.000
240.406 163.250
241.828 164.000
243.281 164.500
244.703 165.500
246.141 166.500
247.578 167.250
249.031 168.250
250.453 169.250
251.906 170.250
253.344 171.000
254.266 172.000
255.703 173.500
257.141 174.750
258.547 175.750
277.125 325.750
281.438 289.250
293.141 233.500
329.625 518.750
330.891 527.750
332.281 540.000
333.734 551.000
341.141 287.250
342.188 280.000
344.734 274.250
345.031 271.250
346.688 271.750
348.594 274.500
355.703 470.250
357.109 469.750
358.453 471.500
0.031 477.500
1.344 489.250
2.672 499.000
5.797 481.000
7.250 474.500
8.641 470.250
10.125 470.000
11.359 472.750
12.734 481.000
25.922 838.000
27.344 835.250
28.797 833.000
30.297 827.750
31.703 828.500
33.125 835.250
34.516 841.000
36.078 840.750
37.516 842.500
38.922 846.500
40.375 848.250
46.000 936.250
47.438 915.750
48.906 895.500
50.484 876.750
51.984 859.500
53.422 843.000
54.891 828.000
56.234 815.250
57.828 801.750
59.172 788.500
60.797 777.750
62.125 767.250
63.688 758.000
65.047 750.000
66.625 740.250
67.984 731.750
69.406 726.500
71.031 720.000
72.516 712.000
73.922 706.250
75.281 701.250
76.828 696.000
78.297 691.500
79.625 687.500
81.062 685.750
82.562 684.250
84.141 680.750
85.547 678.250
86.797 677.250
88.406 674.000
89.812 673.250
91.281 675.500
92.547 675.500
94.172 675.750
95.578 676.750
96.875 678.750
98.453 679.750
99.781 681.500
101.344 684.250
102.719 686.500
104.109 690.000
105.594 694.250
106.984 699.500
108.438 705.000
109.703 710.250
111.281 716.500
112.672 723.750
114.094 730.750
115.391 737.750
116.891 746.000
118.312 755.000
119.625 764.250
121.078 774.750
122.484 786.500
123.891 798.750
125.391 811.250
126.719 824.250
128.125 839.000
129.531 856.500
131.016 873.000
132.375 889.500
133.719 909.500
135.094 929.750
136.516 951.000
137.906 974.750
140.953 891.000
175.844 2023.000
181.578 2232.500
183.016 2214.750
184.469 2197.750
185.906 2186.750
187.312 2175.500
188.734 2160.750
192.938 2611.750
194.406 2620.750
195.828 2622.750
197.266 2622.000
198.672 2625.000
200.125 2633.250
203.047 2645.500
204.516 2627.750
205.938 2610.000
224.703 185.750
229.531 171.500
230.969 170.250
232.406 167.250
233.844 165.250
235.281 163.750
236.719 162.750
238.156 162.000
239.578 162.250
243.906 163.750
245.344 165.000
246.781 166.000
248.219 167.000
249.672 168.000
251.109 169.500
252.531 170.500
253.984 171.250
254.922 172.750
256.359 174.500
257.812 175.750
259.250 176.250
277.828 327.750
282.172 290.000
293.750 234.500
294.562 230.000
330.469 523.500
331.953 531.750
333.328 542.500
334.797 551.000
339.922 292.750
341.859 284.500
343.266 277.500
344.828 272.750
347.031 271.500
348.109 273.250
348.750 277.000
356.688 469.000
358.203 471.500
6.906 477.250
8.266 473.250
9.469 471.500
11.188 473.000
12.438 478.250
25.516 843.250
27.062 834.250
28.391 837.500
29.953 832.250
31.375 827.000
32.703 830.000
34.141 835.000
35.625 839.250
37.047 840.500
38.469 841.500
39.984 843.500
45.625 933.500
47.094 912.000
48.516 890.750
50.016 872.250
51.453 855.750
53.031 838.500
54.500 824.500
56.000 810.000
57.422 796.000
58.844 783.750
60.391 772.000
61.906 762.250
63.359 752.500
64.844 742.500
66.203 734.750
67.609 728.250
69.062 720.750
70.672 713.000
72.047 706.750
73.484 701.250
75.062 696.000
76.391 691.500
77.812 688.000
79.406 684.750
80.906 681.250
82.312 678.000
83.719 675.750
85.172 673.250
86.516 671.250
88.016 670.000
89.562 669.000
90.969 668.750
92.375 668.500
93.781 669.750
